name,classification,lng,lat
Other,3,24.8964269711111,36.0632769277778
Other,4,24.87459245,36.07213131
Other,4,24.8732819522222,36.06753135
Store: Gelatogalore,2,24.85855542,36.059504425
Store: Guy's Gyros,2,24.902345475,36.05585142
Other,4,24.850035825,36.05297364
Other,4,24.9050063216667,36.0605765566667
Store: Roberts and Sons,2,24.8522869033333,36.06249608
Home of Willem,3,24.8746561375,36.0762392225
Home of Brand,3,24.8984075505882,36.0617520947059
Home of Brand,3,24.8987566520833,36.0624032779167
Store: Ahaggo Museum,2,24.876208095,36.076252545
Other,3,24.8957585625,36.062856525
Home of Vira,3,24.8569734257143,36.0878891742857
Other,4,24.8560585283333,36.08788346
Other,4,24.8556956633333,36.0878739866667
Home of Vira,3,24.8572129,36.087861015
Home of Vira,3,24.85632759,36.0878382666667
Store: Gelatogalore,2,24.85754579,36.059492645
Store: General Grocer,2,24.856535295,36.059628595
Home of Stenig,3,24.9010282966667,36.0658758283333
Home of Stenig,3,24.90146962625,36.06537006375
Home of Stenig,3,24.901220065,36.065568135
Home of Stenig,3,24.90165189,36.06517094
Other,4,24.89925758,36.06306844
Store: Brew've Been Served,2,24.90054072,36.05426393
Home of Varja,3,24.9010378597561,36.0583938897561
Home of Felix,3,24.9005636469231,36.0578897792308
Home of Felix,3,24.900233115,36.058750935
Home of Felix,3,24.90165766,36.05831501
Store: Ahaggo Museum,2,24.87619669,36.07711202
Other,3,24.900374675,36.05874213
Other,4,24.89789344,36.062774275
Home of Bertrand,3,24.89527184,36.05925368
Other,4,24.8503386,36.052957555
Home of Marin,3,24.8840852821429,36.072241735
Store: Gelatogalore,2,24.8580074,36.059023995
Home of Marin,3,24.883990515,36.07298408
Home of Marin,3,24.8840429883333,36.0727275116667
Home of Kare,3,24.8843120671429,36.0685676057143
Home of Kare,3,24.8842116333333,36.0691926811111
Home of Kare,3,24.884247365,36.068802325
Other,4,24.87594422,36.072969055
Store: Jack's Magical Beans,2,24.875879195,36.052056845
Home of Felix,3,24.901492255,36.058375725
Other,4,24.895171665,36.070157365
Home of Orhan,3,24.874610285,36.0724289575
Home of Orhan,3,24.874265909,36.07244254
Home of Orhan,3,24.87390103,36.0724500333333
Other,4,24.87285136375,36.06758685625
Other,4,24.872399045,36.06765926
Home of Brand,3,24.898750715,36.061535415
Home of Edvard,3,24.9024847066667,36.0676788088889
Home of Edvard,3,24.9028190233333,36.0674833
Home of Edvard,3,24.9032160933333,36.06718093
Home of Edvard,3,24.903033525,36.067340955
Home of Edvard,3,24.9026656433333,36.0676029133333
Home of Willem,3,24.8741974,36.0762067569231
Home of Willem,3,24.87372108,36.07618221
